CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,WEEK(Execution Docket Date)-value,WEEK(Execution Docket Date)-alias,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-value,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,MONTH(calc-color)-alias
81,81,2021-02-21 00:00:00,2/21/21,2021-06-06 00:00:00,6/6/21,92,06/2021
59,59,2021-02-14 00:00:00,2/14/21,2021-05-30 00:00:00,5/30/21,79,06/2021
76,76,2021-02-07 00:00:00,2/7/21,2021-05-23 00:00:00,5/23/21,59,05/2021
93,93,2021-01-31 00:00:00,1/31/21,2021-05-16 00:00:00,5/16/21,57,05/2021
67,67,2021-01-24 00:00:00,1/24/21,2021-05-09 00:00:00,5/9/21,97,05/2021
67,67,2021-01-17 00:00:00,1/17/21,2021-05-02 00:00:00,5/2/21,75,05/2021
69,69,2021-01-10 00:00:00,1/10/21,2021-04-25 00:00:00,4/25/21,75,04/2021
74,74,2021-01-03 00:00:00,1/3/21,2021-04-18 00:00:00,4/18/21,75,04/2021
67,67,2020-12-27 00:00:00,12/27/20,2021-04-11 00:00:00,4/11/21,58,04/2021
54,54,2020-12-20 00:00:00,12/20/20,2021-04-04 00:00:00,4/4/21,86,04/2021
66,66,2020-12-13 00:00:00,12/13/20,2021-03-28 00:00:00,3/28/21,29,04/2021
59,59,2020-12-06 00:00:00,12/6/20,2021-03-28 00:00:00,3/28/21,56,03/2021
58,58,2020-11-29 00:00:00,11/29/20,2021-03-21 00:00:00,3/21/21,61,03/2021
38,38,2020-11-22 00:00:00,11/22/20,2021-03-14 00:00:00,3/14/21,76,03/2021
53,53,2020-11-15 00:00:00,11/15/20,2021-03-07 00:00:00,3/7/21,103,03/2021
53,53,2020-11-08 00:00:00,11/8/20,2021-02-28 00:00:00,2/28/21,91,03/2021
65,65,2020-11-01 00:00:00,11/1/20,2021-02-21 00:00:00,2/21/21,81,02/2021
49,49,2020-10-25 00:00:00,10/25/20,2021-02-14 00:00:00,2/14/21,59,02/2021
66,66,2020-10-18 00:00:00,10/18/20,2021-02-07 00:00:00,2/7/21,76,02/2021
0,0,0,0,2021-01-31 00:00:00,1/31/21,93,02/2021
0,0,0,0,2021-01-24 00:00:00,1/24/21,67,01/2021
0,0,0,0,2021-01-17 00:00:00,1/17/21,67,01/2021
0,0,0,0,2021-01-10 00:00:00,1/10/21,69,01/2021
0,0,0,0,2021-01-03 00:00:00,1/3/21,74,01/2021
0,0,0,0,2020-12-27 00:00:00,12/27/20,67,12/2020
0,0,0,0,2020-12-20 00:00:00,12/20/20,54,12/2020
0,0,0,0,2020-12-13 00:00:00,12/13/20,66,12/2020
0,0,0,0,2020-12-06 00:00:00,12/6/20,59,12/2020
0,0,0,0,2020-11-29 00:00:00,11/29/20,51,12/2020
0,0,0,0,2020-11-29 00:00:00,11/29/20,7,11/2020
0,0,0,0,2020-11-22 00:00:00,11/22/20,38,11/2020
0,0,0,0,2020-11-15 00:00:00,11/15/20,53,11/2020
0,0,0,0,2020-11-08 00:00:00,11/8/20,53,11/2020
0,0,0,0,2020-11-01 00:00:00,11/1/20,65,11/2020
0,0,0,0,2020-10-25 00:00:00,10/25/20,49,10/2020
0,0,0,0,2020-10-18 00:00:00,10/18/20,66,10/2020
