CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,WORCESTER,WOR,77,WORCESTER,Jan-23,862927,8.923118642,,,,,,,,
0,0,0,0,SUFFOLK,SUF,59,SUFFOLK,Jan-23,766381,7.69852071,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,42,PLYMOUTH,Jan-23,533069,7.878904982,,,,,,,,
0,0,0,0,NORFOLK,NOR,67,NORFOLK,Jan-23,725531,9.23461575,,,,,,,,
0,0,0,0,NANTUCKET,NAN,2,NANTUCKET,Jan-23,14421,13.86866375,,,,,,,,
0,0,0,0,MIDDLESEX,MID,126,MIDDLESEX,Jan-23,1617105,7.791701838,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,9,HAMPSHIRE,Jan-23,162588,5.535463872,,,,,,,,
0,0,0,0,HAMPDEN,HPD,59,HAMPDEN,Jan-23,461041,12.7971265,,,,,,,,
0,0,0,0,FRANKLIN,FRA,9,FRANKLIN,Jan-23,70894,12.69500945,,,,,,,,
0,0,0,0,ESSEX,ESS,97,ESSEX,Jan-23,806765,12.02332773,,,,,,,,
0,0,0,0,BRISTOL,BRI,59,BRISTOL,Jan-23,580068,10.17122131,,,,,,,,
0,0,0,0,BERKSHIRE,BER,21,BERKSHIRE,Jan-23,127859,16.42434244,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,4,BARNSTABLE,Jan-23,232457,1.720748353,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,Jan-23,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,53,WORCESTER,Dec-22,862927,6.141886857,,,,,,,,
0,0,0,0,SUFFOLK,SUF,69,SUFFOLK,Dec-22,766381,9.003354728,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,21,PLYMOUTH,Dec-22,533069,3.939452491,,,,,,,,
0,0,0,0,NORFOLK,NOR,37,NORFOLK,Dec-22,725531,5.099713176,,,,,,,,
0,0,0,0,MIDDLESEX,MID,78,MIDDLESEX,Dec-22,1617105,4.823434471,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,11,HAMPSHIRE,Dec-22,162588,6.765566955,,,,,,,,
